Rank;Name;Year;Genre;Genre_Enum;Publisher;VG_Global_Sales;IGN_Score;Editors_Choice
1;Grand Theft Auto V;2013;Action;5;Take-Two Interactive;55.92;10;Y
2;Grand Theft Auto IV;2008;Action;5;Take-Two Interactive;22.47;10;Y
3;Super Mario Galaxy 2;2010;Platform;1;Nintendo;7.69;10;Y
4;The Legend of Zelda: Ocarina of Time;1998;Action;5;Nintendo;11.81;10;Y
5;Uncharted 3: Drake's Deception;2011;Action;5;Sony Computer Entertainment;6.83;10;Y
6;Metal Gear Solid 4: Guns of the Patriots;2008;Action;5;Konami Digital Entertainment;6.03;10;Y
7;The Last of Us;2013;Action;5;Sony Computer Entertainment Europe;10.54;10;Y
8;The Legend of Zelda: Skyward Sword;2011;Action;5;Nintendo;4.1;10;Y
9;Metal Gear Solid V: The Phantom Pain;2015;Action;5;Konami Digital Entertainment;5.08;10;Y
10;The Legend of Zelda: Link's Awakening DX;1998;Adventure;6;Nintendo;2.22;10;Y
11;The Legend of Zelda: Oracle of Ages;2001;Action;5;Nintendo;1.92;10;Y
12;The Legend of Zelda: Oracle of Seasons;2001;Adventure;6;Nintendo;1.86;10;Y
13;Dragon Warrior III;2000;Role-Playing;3;Enix Corporation;0.81;10;Y
14;SoulCalibur;1999;Fighting;4;Namco Bandai Games;0.34;10;Y
15;Grand Theft Auto: San Andreas;2004;Action;5;Take-Two Interactive;23.86;9.9;Y
16;The Legend of Zelda: Majora's Mask;2000;Action;5;Nintendo;3.36;9.9;Y
17;Conker's Bad Fur Day;2001;Platform;1;THQ;0.77;9.9;Y
18;Jade Empire;2005;Role-Playing;3;Microsoft Game Studios;0.7;9.9;Y
19;Advance Wars;2001;Strategy;9;Nintendo;0.7;9.9;Y
20;Super Mario 64;1996;Platform;1;Nintendo;22.31;9.8;Y
21;Halo 4;2012;Shooter;7;Microsoft Game Studios;9.76;9.8;Y
22;Gran Turismo 2;1999;Racing;8;Sony Computer Entertainment;9.49;9.8;Y
23;Halo 2;2004;Shooter;7;Microsoft Game Studios;8.59;9.8;Y
24;Metal Gear Solid;1998;Action;5;Konami Digital Entertainment;6.1;9.8;Y
25;Resident Evil 4;2005;Action;5;Capcom;7.6;9.8;Y
26;Metroid Prime;2002;Shooter;7;Nintendo;2.82;9.8;Y
27;Perfect Dark;2000;Action;5;Nintendo;2.52;9.8;Y
28;Metal Gear Solid 3: Subsistence;2005;Action;5;Konami Digital Entertainment;0.55;9.8;Y
29;Super Mario Galaxy;2007;Platform;1;Nintendo;11.52;9.7;Y
30;GoldenEye 007;1997;Shooter;7;Nintendo;8.09;9.7;Y
31;Red Dead Redemption;2010;Action;5;Take-Two Interactive;12.94;9.7;Y
32;Halo: Combat Evolved;2001;Shooter;7;Microsoft Game Studios;6.47;9.7;Y
33;Driver;1999;Action;5;GT Interactive;6.27;9.7;Y
34;Metal Gear Solid 2: Sons of Liberty;2001;Action;5;Konami Digital Entertainment;6.05;9.7;Y
35;Tony Hawk's Pro Skater 3;2001;Sports;2;Activision;8.05;9.7;Y
36;God of War II;2007;Action;5;Sony Computer Entertainment;4.07;9.7;Y
37;Wave Race 64;1996;Racing;8;Nintendo;2.94;9.7;Y
38;BioShock;2007;Shooter;7;Take-Two Interactive;4.69;9.7;Y
39;Half-Life 2;2004;Shooter;7;Vivendi Games;2.98;9.7;Y
40;Chrono Cross;1999;Role-Playing;3;SquareSoft;1.86;9.7;Y
41;Golden Sun;2001;Role-Playing;3;Nintendo;1.76;9.7;Y
42;NFL 2K;1999;Sports;2;Sega;1.2;9.7;N
43;Shenmue;1999;Adventure;6;Sega;1.18;9.7;Y
44;Shadow of the Colossus;2005;Action;5;Sony Computer Entertainment;1.18;9.7;Y
45;Excitebike 64;2000;Racing;8;Nintendo;1;9.7;Y
46;Grand Theft Auto III;2001;Action;5;Take-Two Interactive;13.11;9.6;Y
47;Animal Crossing: New Leaf;2012;Simulation;11;Nintendo;9.09;9.6;Y
48;Super Smash Bros. Melee;2001;Fighting;4;Nintendo;7.07;9.6;Y
49;Fallout 3;2008;Role-Playing;3;Bethesda Softworks;9.96;9.6;Y
50;Tony Hawk's Pro Skater 2;2000;Sports;2;Activision;6.62;9.6;Y
51;The Legend of Zelda: The Wind Waker;2002;Action;5;Nintendo;6.37;9.6;Y
52;Super Mario 3D World;2013;Platform;1;Nintendo;4.25;9.6;Y
53;Metal Gear Solid 3: Snake Eater;2004;Action;5;Konami Digital Entertainment;4.23;9.6;Y
54;Banjo-Kazooie;1998;Platform;1;Nintendo;3.66;9.6;Y
55;Mass Effect 2;2010;Role-Playing;3;Electronic Arts;4.99;9.6;Y
56;Tom Clancy's Splinter Cell;2002;Action;5;Ubisoft;6;9.6;Y
57;Devil May Cry;2001;Action;5;Capcom;2.99;9.6;Y
58;Devil May Cry 3: Dante's Awakening;2005;Action;5;Capcom;2.09;9.6;Y
59;Jak 3;2004;Platform;1;Sony Computer Entertainment;1.85;9.6;Y
60;Twisted Metal: Black;2001;Racing;8;Sony Computer Entertainment;1.41;9.6;Y
61;Vagrant Story;2000;Role-Playing;3;Crave Entertainment;0.87;9.6;Y
62;Eternal Darkness: Sanity's Requiem;2002;Adventure;6;Nintendo;0.44;9.6;Y
63;Jet Grind Radio;2003;Action;5;Sega;0.03;9.6;Y
64;New Super Mario Bros.;2006;Platform;1;Nintendo;30.01;9.5;Y
65;Mario Kart DS;2005;Racing;8;Nintendo;23.42;9.5;Y
66;Call of Duty: Modern Warfare 2;2009;Shooter;7;Activision;25.09;9.5;Y
67;Super Smash Bros. Brawl;2008;Fighting;4;Nintendo;13.04;9.5;Y
68;Halo 3;2007;Shooter;7;Microsoft Game Studios;12.14;9.5;Y
69;Gran Turismo 4;2004;Racing;8;Sony Computer Entertainment;11.66;9.5;Y
70;Super Mario 3D Land;2011;Platform;1;Nintendo;10.79;9.5;Y
71;Halo: Reach;2010;Shooter;7;Microsoft Game Studios;9.88;9.5;Y
72;Final Fantasy VII;1997;Role-Playing;3;Sony Computer Entertainment;9.72;9.5;Y
73;The Elder Scrolls V: Skyrim;2011;Role-Playing;3;Bethesda Softworks;19.28;9.5;Y
74;Final Fantasy X;2001;Role-Playing;3;Sony Computer Entertainment;8.05;9.5;Y
75;The Legend of Zelda: Twilight Princess;2006;Action;5;Nintendo;8.9;9.5;Y
76;Fallout 4;2015;Role-Playing;3;Bethesda Softworks;12.28;9.5;Y
77;Gears of War 2;2008;Shooter;7;Microsoft Game Studios;6.76;9.5;Y
78;Uncharted 2: Among Thieves;2009;Action;5;Sony Computer Entertainment;6.73;9.5;Y
79;Final Fantasy XII;2006;Role-Playing;3;Square Enix;5.95;9.5;Y
80;LittleBigPlanet;2008;Platform;1;Sony Computer Entertainment;8.5;9.5;Y
81;Batman: Arkham City;2011;Action;5;Warner Bros. Interactive Entertainment;11.2;9.5;Y
82;Final Fantasy X-2;2003;Role-Playing;3;Electronic Arts;5.29;9.5;Y
83;Diablo III;2012;Role-Playing;3;Activision;11.08;9.5;Y
84;Super Mario Bros. 3;2003;Platform;1;Nintendo;5.2;9.5;Y
85;Forza Motorsport 4;2011;Racing;8;Microsoft Game Studios;4.64;9.5;Y
86;Half-Life;1997;Shooter;7;Vivendi Games;4.72;9.5;Y
87;Tony Hawk's Underground;2003;Sports;2;Activision;6.47;9.5;Y
88;Mass Effect 3;2012;Role-Playing;3;Electronic Arts;5.78;9.5;Y
89;Syphon Filter;1999;Shooter;7;Sony Computer Entertainment;2.88;9.5;Y
90;Jak II;2003;Platform;1;Sony Computer Entertainment;2.78;9.5;Y
91;The Legend of Zelda: A Link to the Past;2002;Action;5;Nintendo;2.7;9.5;Y
92;Burnout 3: Takedown;2004;Racing;8;Electronic Arts;3.99;9.5;Y
93;NBA 2K12;2011;Sports;2;Take-Two Interactive;5.53;9.5;Y
94;Resistance 2;2008;Shooter;7;Sony Computer Entertainment;2.48;9.5;Y
95;Super Mario RPG: Legend of the Seven Stars;1996;Role-Playing;3;Nintendo;2.14;9.5;Y
96;Portal 2;2011;Shooter;7;Valve Software;4.6;9.5;Y
97;Metal Gear Solid: Peace Walker;2010;Action;5;Konami Digital Entertainment;2.09;9.5;Y
98;BioShock Infinite;2013;Shooter;7;Take-Two Interactive;4.39;9.5;Y
99;The Orange Box;2007;Shooter;7;Electronic Arts;3.05;9.5;Y
100;Metroid Prime 3: Corruption;2007;Shooter;7;Nintendo;1.82;9.5;Y
101;Metroid Fusion;2002;Action;5;Nintendo;1.68;9.5;Y
102;Ape Escape;1999;Platform;1;Sony Computer Entertainment;1.68;9.5;Y
103;Dark Souls III;2016;Role-Playing;3;Namco Bandai Games;1.96;9.5;Y
104;Xenogears;1998;Role-Playing;3;SquareSoft;1.46;9.5;Y
105;Grand Theft Auto: Chinatown Wars;2009;Action;5;Take-Two Interactive;2.43;9.5;Y
106;Metroid Prime 2: Echoes;2004;Shooter;7;Nintendo;1.33;9.5;Y
107;NFL 2K1;2000;Sports;2;Sega;1.09;9.5;Y
108;Empire: Total War;2009;Strategy;9;Sega;1.09;9.5;Y
109;Forza Motorsport;2005;Racing;8;Microsoft Game Studios;1.05;9.5;Y
110;Rayman Origins;2011;Platform;1;Ubisoft;3.22;9.5;Y
111;Bayonetta 2;2014;Action;5;Nintendo;1.01;9.5;Y
112;God of War: Ghost of Sparta;2010;Action;5;Sony Computer Entertainment;1.01;9.5;Y
113;Fire Emblem;2003;Strategy;9;Nintendo;0.97;9.5;Y
114;Pro Evolution Soccer 2016;2015;Sports;2;Konami Digital Entertainment;1.5;9.5;Y
115;Virtua Fighter 4: Evolution;2003;Fighting;4;Sega;0.71;9.5;Y
116;Rayman Legends;2013;Platform;1;Ubisoft;3.36;9.5;Y
117;Viewtiful Joe;2003;Action;5;Capcom;0.9;9.5;Y
118;Syphon Filter: Logan's Shadow;2007;Shooter;7;Sony Computer Entertainment;0.52;9.5;Y
119;Mario Golf: Advance Tour;2004;Sports;2;Nintendo;0.45;9.5;Y
120;Forza Horizon 3;2016;Racing;8;Microsoft Game Studios;0.38;9.5;Y
121;Elite Beat Agents;2006;Misc;12;Nintendo;0.38;9.5;Y
122;Pro Evolution Soccer 2017;2016;Sports;2;Konami Digital Entertainment;0.37;9.5;Y
123;Colony Wars: Vengeance;1998;Simulation;11;Psygnosis;0.23;9.5;Y
124;Space Station Silicon Valley;1997;Adventure;6;Take-Two Interactive;0.15;9.5;Y
125;Ultimate Card Games;2003;Misc;12;Telegames;0.12;9.5;Y
126;Patapon 2;2008;Misc;12;Sony Computer Entertainment;0.11;9.5;Y
127;StarCraft;1998;Strategy;9;Activision;0.05;9.5;Y
128;The Sims;2000;Simulation;11;Electronic Arts;3.73;9.5;Y
129;World of Goo;2008;Puzzle;10;2D Boy;0.04;9.5;Y
130;Zero Escape: Virtue's Last Reward;2012;Adventure;6;Rising Star Games;0.03;9.5;Y
131;Homeworld;1998;Strategy;9;Vivendi Games;0.02;9.5;Y
132;Call of Duty 4: Modern Warfare;2007;Shooter;7;Activision;18.25;9.4;Y
133;Super Mario Sunshine;2002;Platform;1;Nintendo;6.31;9.4;Y
134;Gears of War;2006;Shooter;7;Microsoft Game Studios;6.13;9.4;Y
